timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2024-10-19T00:00:00.000Z";"2024-10-19T23:59:59.999Z";"2024-10-19T23:46:00.000Z";"2024-10-19T12:01:00.000Z";"2790";142.5391170918;146.893654958;141.5613215807;146.8283003148;1324784930.2462735;68999618504.88112;"2024-10-19T23:59:59.999Z"
"2024-10-18T00:00:00.000Z";"2024-10-18T23:59:59.999Z";"2024-10-18T18:38:00.000Z";"2024-10-18T01:02:00.000Z";"2790";138.8021191219;144.0842431783;138.2087754026;142.5391170918;1619784648.0365736;67248384583.62879;"2024-10-18T23:59:59.999Z"
"2024-10-17T00:00:00.000Z";"2024-10-17T23:59:59.999Z";"2024-10-17T02:01:00.000Z";"2024-10-17T18:37:00.000Z";"2790";142.0345397896;143.2019288247;136.6375082028;138.8105343873;1987022416.8695729;65038462818.848335;"2024-10-17T23:59:59.999Z"
"2024-10-16T00:00:00.000Z";"2024-10-16T23:59:59.999Z";"2024-10-16T11:34:00.000Z";"2024-10-16T07:18:00.000Z";"2790";142.1522093784;145.2060216254;140.6607969259;142.0433985575;2202786704.0524006;66582477412.895584;"2024-10-16T23:59:59.999Z"
"2024-10-15T00:00:00.000Z";"2024-10-15T23:59:59.999Z";"2024-10-15T14:03:00.000Z";"2024-10-15T15:11:00.000Z";"2790";144.3375113529;145.4322037909;138.4081669338;142.1085781607;3164295531.7996826;66628415580.220634;"2024-10-15T23:59:59.999Z"
"2024-10-14T00:00:00.000Z";"2024-10-14T23:59:59.999Z";"2024-10-14T23:03:00.000Z";"2024-10-14T00:20:00.000Z";"2790";134.8588520942;144.6463126581;134.6519069955;144.3381411335;2677011758.313593;67589506927.798386;"2024-10-14T23:59:59.999Z"
"2024-10-13T00:00:00.000Z";"2024-10-13T23:59:59.999Z";"2024-10-13T22:07:00.000Z";"2024-10-13T15:31:00.000Z";"2790";133.8745002906;135.9034616413;132.1427617882;134.8608440204;1182885033.9258182;63332256224.65974;"2024-10-13T23:59:59.999Z"
"2024-10-12T00:00:00.000Z";"2024-10-12T23:59:59.999Z";"2024-10-12T13:09:00.000Z";"2024-10-12T03:30:00.000Z";"2790";132.8517599371;134.456202453;132.285758561;133.8744555361;1022223574.070048;62872997311.51634;"2024-10-12T23:59:59.999Z"
"2024-10-11T00:00:00.000Z";"2024-10-11T23:59:59.999Z";"2024-10-11T19:13:00.000Z";"2024-10-11T01:36:00.000Z";"2790";127.0285927649;133.8630839564;126.8995867848;132.8517599371;1644346140.0834982;62449902109.238556;"2024-10-11T23:59:59.999Z"
"2024-10-10T00:00:00.000Z";"2024-10-10T23:59:59.999Z";"2024-10-10T05:55:00.000Z";"2024-10-10T18:28:00.000Z";"2790";127.3242771922;128.4837652167;124.1503654824;127.0234480903;1617816356.733541;59578606897.830505;"2024-10-10T23:59:59.999Z"
